ID,duration,wav,start,stop,spk_id
1--train-00033-of-00803_221,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/1/train-00033-of-00803_221.wav,0,48000,1
1--train-00033-of-00803_131,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/1/train-00033-of-00803_131.wav,0,48000,1
1--train-00033-of-00803_163,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/1/train-00033-of-00803_163.wav,0,48000,1
1--train-00033-of-00803_22,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/1/train-00033-of-00803_22.wav,0,48000,1
1--train-00032-of-00803_1276,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/1/train-00032-of-00803_1276.wav,0,48000,1
10--train-00096-of-00803_930,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/10/train-00096-of-00803_930.wav,0,48000,10
10--train-00096-of-00803_919,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/10/train-00096-of-00803_919.wav,0,48000,10
10--train-00096-of-00803_877,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/10/train-00096-of-00803_877.wav,0,48000,10
10--train-00096-of-00803_940,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/10/train-00096-of-00803_940.wav,0,48000,10
10--train-00096-of-00803_912,3.0,/Users/tavantai/Developer/project_thesis_code/dataset_copy/10/train-00096-of-00803_912.wav,0,48000,10
